Price,Close,High,Low,Open,Volume,Ticker
Ticker,META,META,META,META,META,
Date,,,,,,
2023-07-28,323.9532165527344,324.66984031915814,312.77588443356973,315.39355222445687,39220300,META
2023-07-31,317.10546875,324.1323481985344,316.10019689176113,322.1715881591069,25799600,META
2023-08-01,321.1961975097656,322.61951263548195,313.1839712460445,316.05046637065453,22817900,META
2023-08-02,312.8356018066406,316.89647995750096,309.1927668438837,316.5082948275176,20461100,META
2023-08-03,311.7208557128906,314.4679185156936,308.47613836606814,308.47613836606814,15180200,META
2023-08-04,309.27239990234375,316.916366310776,308.74488730741234,313.48253785122665,17600200,META
2023-08-07,315.0750732421875,315.5826906464642,309.0036811374816,311.76070702016386,16236500,META
2023-08-08,311.1734313964844,316.3988038321548,308.65527037756453,312.92515464412173,15183500,META
2023-08-09,303.7782897949219,312.1588059993001,301.4293748376465,311.41232415491487,19955800,META
2023-08-10,304.3058166503906,310.8748632631293,302.44459335790685,306.49550897944533,14358900,META
2023-08-11,300.2250671386719,303.29060596157103,298.95104226487763,301.15069736001476,13967800,META
2023-08-14,304.75372314453125,304.7736183935267,296.850965750425,299.56817077238907,15641900,META
2023-08-15,300.5335998535156,305.788830773249,298.62259298523816,304.70394748127944,11623600,META
2023-08-16,292.9095153808594,299.6676421119351,292.8995525703216,298.7917956428592,18547700,META
2023-08-17,283.752685546875,294.6612654651381,283.61335805879924,291.6753379770627,23950100,META
2023-08-18,281.9212951660156,284.3498517361462,273.0929085409362,277.72108965942147,34061200,META
2023-08-21,288.5400695800781,289.137261047832,280.52784437550855,282.1203448313788,20181500,META
2023-08-22,286.25091552734375,291.5260418341039,285.40489668112855,291.1776775592595,12999900,META
2023-08-23,292.8597106933594,296.0048907810087,286.3205536422657,287.14664674823496,18287000,META
2023-08-24,285.4048767089844,298.0552465231389,285.2954072906671,297.09975831780935,18360900,META
2023-08-25,284.1607666015625,287.0372246680765,274.73518759423246,284.78781623540743,23701400,META
2023-08-28,288.8984375,290.08285779345016,284.4593369151262,286.6490291486704,14239300,META
2023-08-29,296.5921630859375,297.74672534174357,286.82818278081834,287.2263003648559,20844500,META
2023-08-30,293.7157287597656,296.89076729736024,292.0535491568498,295.77602593765755,17717000,META
2023-08-31,294.50201416015625,299.68756588991215,294.2730821401518,294.41240961471203,17229900,META
2023-09-01,294.9897155761719,300.32455776626847,293.0886715524434,297.96568006190887,12819800,META
2023-09-05,298.7420349121094,299.97623891112556,294.1238162567697,295.62671241672155,14956000,META
2023-09-06,297.7666015625,301.8772021443766,294.27305731524604,300.2946645076463,15418100,META
2023-09-07,297.2690124511719,305.60967804170025,290.8492559544384,296.602141921701,33748700,META
2023-09-08,296.4926452636719,303.8181057312273,295.3878363572217,297.81639301480607,17548000,META
2023-09-11,306.1172790527344,307.5903475262006,299.8667388198271,299.9961338689429,19489300,META
2023-09-12,300.2449645996094,307.21212871378674,298.82167979186084,304.8930413632468,13480400,META
2023-09-13,303.62896728515625,305.73901754816256,299.9065212692648,300.9416207807338,13210900,META
2023-09-14,310.25775146484375,311.4023508460972,303.59913120744346,305.3011012504276,19343100,META
2023-09-15,298.9012756347656,310.5364415310595,297.3485958570642,310.14825639942245,28106400,META
2023-09-18,301.1307373046875,302.1758300192665,296.4030193740689,296.79120447862084,14234200,META
2023-09-19,303.63897705078125,304.73382321724205,298.4036410748847,301.06112993463853,15924400,META
2023-09-20,298.2642822265625,306.6149095251009,298.02538739527154,303.61901950604306,19379500,META
2023-09-21,294.3427429199219,298.85149149662203,291.8942608985676,294.3128848647551,21300500,META
2023-09-22,297.6770324707031,303.94749802972694,296.87083452909513,297.89600168783267,25369600,META
2023-09-25,299.4188537597656,299.5383163784786,292.3223246667054,294.2532269478099,18987000,META
2023-09-26,297.5575866699219,298.89129715910343,294.62144318141753,296.26369704779074,19417200,META
2023-09-27,296.34332275390625,299.8866207323841,285.44470629532236,299.0406322939545,36429800,META
2023-09-28,302.53411865234375,304.8929961498602,295.3081958829428,297.5376783490477,22167100,META
2023-09-29,298.8017272949219,309.18282397593697,297.95570851083454,305.9381066890614,25356600,META
2023-10-02,305.3807373046875,305.7390339915228,300.2150807818553,301.31985927401985,16265600,META
2023-10-03,299.5283508300781,305.3309900577834,298.23446102955893,302.8327846391416,17362300,META
2023-10-04,304.14654541015625,305.46036072928314,297.09977025429816,297.32870228509904,16880500,META
2023-10-05,303.3602600097656,304.77358187976694,298.0950665235925,303.20100691360363,19130000,META
2023-10-06,313.9503173828125,314.8261941816982,299.4984413244606,300.02595389091397,21784000,META
2023-10-09,316.8665771484375,318.82733720781846,310.3572777782231,311.0340806478515,22503700,META
2023-10-10,320.33026123046875,323.1370400432874,316.6675312137756,317.62301939760385,19038000,META
2023-10-11,326.2822265625,327.2974308789376,321.4350762523211,321.49479236655725,22036300,META
2023-10-12,322.639404296875,328.9894812698115,321.176298692219,326.4613876290649,20530500,META
2023-10-13,313.2138366699219,323.52522481264265,310.904712168084,322.012365849934,21341000,META
2023-10-16,319.6434631347656,320.31033349583697,314.0398688878111,317.14525832551783,16536100,META
2023-10-17,322.4801330566406,322.87825060281386,315.81155025415745,316.6874270803916,16387800,META
2023-10-18,315.483154296875,324.41107892146374,314.07976469792465,319.88243426925715,16851000,META
2023-10-19,311.3426513671875,320.3800754178104,310.2876261029342,318.3794943155827,18709200,META
2023-10-20,307.2021484375,313.8209478947954,305.03238188372967,312.66641606529106,22287400,META
2023-10-23,312.5370178222656,315.8712789822451,305.81868144861016,308.048164095756,17796800,META
2023-10-24,311.0838317871094,316.8566425084314,309.17285541857785,315.29400000826496,19525500,META
2023-10-25,298.1249694824219,309.4217352054743,297.43820369059677,308.5458582318755,42192500,META
2023-10-26,286.9974060058594,293.61620592903563,278.08937676095405,293.61620592903563,66684100,META
2023-10-27,295.3381042480469,297.90598857058495,291.5957320072256,293.09865859053053,29596300,META
2023-10-30,301.240234375,307.9486075109332,297.64715298545684,297.68697385145646,28435100,META
2023-10-31,299.85675048828125,302.2554489751464,295.4674338753294,301.8871894817279,19434200,META
2023-11-01,310.38714599609375,311.27295529207805,300.4340550895294,300.4340550895294,20434600,META
2023-11-02,309.4117431640625,317.3244628661548,306.8836494789848,315.8115735548844,21631800,META
2023-11-03,313.124267578125,314.0697930547671,309.5610437782957,311.0838655769867,16754100,META
2023-11-06,314.318603515625,316.8367343387527,312.9749605221039,314.4977822392614,12887700,META
2023-11-07,317.324462890625,319.4942294957813,313.6418069740816,315.57270910877634,14055600,META
2023-11-08,318.2799377441406,319.8226546749476,313.4029293062361,316.64764664068247,13609700,META
2023-11-09,319.04632568359375,322.65930264250363,317.3045347267746,317.92165189456364,16103100,META
2023-11-10,327.22772216796875,327.55619114079093,317.9613980012539,318.43915724607723,19096200,META
2023-11-13,327.6457824707031,330.77103703454463,324.17216367099354,324.6698181866847,16908900,META
2023-11-14,334.7323913574219,336.5140030999855,331.76635938999215,332.9707052359157,17179400,META
2023-11-15,331.1492614746094,336.8125723298676,328.4718777328685,336.34477586710636,14531200,META
2023-11-16,332.622314453125,333.0104691652911,324.8489536558696,327.8249178220162,18932600,META
2023-11-17,333.4683837890625,333.92621749002217,327.8050723352092,328.7108073003068,14494400,META
2023-11-20,338.375244140625,340.2663254015602,332.6223586182126,333.31908715486327,16960500,META
2023-11-21,335.3992919921875,338.30557773248745,334.32434108868193,336.74293505993177,12027900,META
2023-11-22,339.8880615234375,341.31137648148615,336.9917086814065,337.618758212851,10702700,META
2023-11-24,336.6434020996094,340.25634855661747,335.1902289687512,338.5344832825469,5467500,META
2023-11-27,333.1299743652344,338.3055635607188,332.6323198056057,334.60301242210414,15684500,META
2023-11-28,337.39984130859375,337.7880264594292,331.83606676759354,331.83606676759354,12637200,META
2023-11-29,330.6416931152344,338.3055549129589,329.2283408372704,338.0965485080961,16024500,META
2023-11-30,325.6153564453125,331.9355751199318,320.8876383588967,330.3331420956273,23146400,META
2023-12-01,323.29632568359375,325.32673448183385,319.2553729609138,323.95323336811543,15264700,META
2023-12-04,318.518798828125,319.3548548050956,312.18864769916655,315.80162449657615,19037100,META
2023-12-05,316.79693603515625,320.37009199258137,313.9105457738759,317.48370173130104,16952100,META
2023-12-06,315.96087646484375,320.7383478517337,315.5527961011568,320.4198416594284,11294300,META
2023-12-07,325.0580139160156,326.70026795006095,316.27937986205325,316.27937986205325,15905100,META
2023-12-08,331.1890869140625,331.6071300804727,321.48482366113353,321.5743978308453,14077500,META
2023-12-11,323.7541198730469,328.34251029334774,318.49888941271394,327.8547882143282,25802500,META
2023-12-12,332.6521911621094,332.90101842405295,323.0375021156789,323.0773229824279,18485500,META
2023-12-13,333.16973876953125,336.7827154494074,331.07961408230966,332.36354087602086,16353300,META
2023-12-14,331.6071472167969,333.1299689294354,327.0983981951085,332.2839501169866,19607300,META
2023-12-15,333.34893798828125,337.0713843119748,329.6662821591047,330.43265923327004,30001600,META
2023-12-18,343.0033874511719,345.929598381487,335.43903287195195,335.89689688784983,18993900,META
2023-12-19,348.71649169921875,351.94131393033064,343.50108158543,343.95891527972447,17729400,META
2023-12-20,347.6415710449219,353.29491960262146,346.1585701638808,347.0145214343162,16369900,META
2023-12-21,352.42901611328125,354.7381406497163,347.5719025623058,351.324237527619,15289600,META
2023-12-22,351.7322692871094,355.5243942247528,349.5724353481685,353.91196809724534,11764200,META
2023-12-26,353.1654968261719,355.3054355830845,351.79199585176616,353.32474991909316,9898600,META
2023-12-27,356.1514587402344,357.3159838070823,353.643290624348,354.3997352959561,13207900,META
2023-12-28,356.63916015625,360.2023533310822,356.13154280090816,358.01269155934705,11798800,META
2023-12-29,352.29962158203125,358.3112974100839,350.1696757754612,357.3060254392007,14980500,META
